task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
10	fd/985c42	3714785	STAM_PIPELINE:QC_PREPROCESSING:TRIM (P12002_145_S94_L004)	CACHED	0	2025-05-22 19:05:10.220	1m 36s	1m 36s	503.0%	4.3 GB	4.8 GB	2.5 GB	2.1 GB
6	d4/e34bad	3714567	STAM_PIPELINE:QC_PREPROCESSING:TRIM (P12002_101_S13_L008)	CACHED	0	2025-05-22 19:05:10.195	1m 41s	1m 41s	544.0%	4.4 GB	4.8 GB	2.6 GB	2.1 GB
14	83/6155cc	3714731	STAM_PIPELINE:QC_PREPROCESSING:TRIM (P12002_145_S94_L007)	CACHED	0	2025-05-22 19:05:10.213	1m 26s	1m 26s	494.3%	4.4 GB	4.8 GB	2.3 GB	1.9 GB
4	87/fc2769	3714620	STAM_PIPELINE:QC_PREPROCESSING:TRIM (P12002_101_S13_L005)	CACHED	0	2025-05-22 19:05:10.200	1m 44s	1m 43s	541.4%	4.4 GB	4.8 GB	2.6 GB	2.2 GB
3	5a/156784	3714675	STAM_PIPELINE:QC_PREPROCESSING:TRIM (P12002_101_S13_L002)	CACHED	0	2025-05-22 19:05:10.207	1m 46s	1m 46s	523.0%	4.4 GB	4.8 GB	2.7 GB	2.2 GB
21	2d/a1e74c	3714314	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_101_S13_L008)	CACHED	0	2025-05-22 19:05:10.151	1m 45s	1m 45s	100.7%	734.6 MB	4.3 GB	1.2 GB	1.8 MB
23	6b/b526b9	3714442	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_101_S13_L008)	CACHED	0	2025-05-22 19:05:10.176	1m 47s	1m 47s	99.6%	711.7 MB	4.3 GB	1.3 GB	1.8 MB
24	45/7e962a	3714361	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_145_S94_L004)	CACHED	0	2025-05-22 19:05:10.163	1m 39s	1m 39s	100.5%	769.8 MB	4.3 GB	1.2 GB	1.7 MB
7	4d/d2ed50	3714146	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_101_S13_L002)	CACHED	0	2025-05-22 19:05:10.082	1m 46s	1m 46s	100.5%	710.7 MB	4.4 GB	1.3 GB	1.8 MB
27	57/611b9d	3714338	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_145_S94_L007)	CACHED	0	2025-05-22 19:05:10.157	1m 37s	1m 37s	101.4%	716.2 MB	4.3 GB	1.2 GB	1.8 MB
25	5d/af878f	3714404	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_145_S94_L004)	CACHED	0	2025-05-22 19:05:10.169	1m 41s	1m 41s	101.0%	713.3 MB	4.4 GB	1.2 GB	1.8 MB
11	c9/b222c6	3714208	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_101_S13_L002)	CACHED	0	2025-05-22 19:05:10.116	1m 49s	1m 49s	100.2%	755.5 MB	4.4 GB	1.4 GB	1.8 MB
1	be/33aece	3927477	STAM_PIPELINE:QC_PREPROCESSING:INDEX_MINIMAP2 (test-comp)	CACHED	0	2025-05-22 22:14:02.006	826ms	452ms	117.7%	12 MB	153.3 MB	3.3 MB	21.9 MB
17	4f/37925f	3714284	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_101_S13_L005)	CACHED	0	2025-05-22 19:05:10.144	1m 50s	1m 50s	99.7%	741.7 MB	4.3 GB	1.3 GB	1.8 MB
26	7a/734d19	3714475	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_145_S94_L007)	CACHED	0	2025-05-22 19:05:10.181	1m 35s	1m 35s	100.2%	719.3 MB	4.3 GB	1.1 GB	1.8 MB
5	0b/f7e631	3714166	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_CCS (pt_042_cell1)	CACHED	0	2025-05-22 19:05:10.096	18m 23s	18m 22s	98.3%	894.2 MB	4.2 GB	20.1 GB	1.9 MB
2	90/edd6ca	3714062	STAM_PIPELINE:QC_PREPROCESSING:BWA_INDEX_COMP_REF (test-comp)	CACHED	0	2025-05-22 19:05:09.905	4.8s	4.4s	92.8%	109.4 MB	117.9 MB	27.3 MB	28.6 MB
15	66/e2b727	3714512	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_101_S13_L005)	CACHED	0	2025-05-22 19:05:10.186	1m 47s	1m 47s	100.5%	710.6 MB	4.3 GB	1.3 GB	1.7 MB
35	d4/b65ad0	4042642	STAM_PIPELINE:QC_PREPROCESSING:VALIDATE_PE_TRIM (validate-P12002_145_S94_L004-trim)	CACHED	0	2025-05-22 22:29:13.892	1m 27s	1m 27s	131.5%	2 GB	46 GB	2.1 GB	11.6 KB
32	04/7d2a19	3754518	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_TRIM (P12002_101_S13_L008)	CACHED	0	2025-05-22 19:06:51.699	1m 39s	1m 39s	91.9%	796.4 MB	4.3 GB	1 GB	1.8 MB
